  J     Xm       Rm     Pt/Pt0    Tt/Tt0   Ps/Pt0   Ts/Tt0    Mabs     Mrel    Alfa     Beta      Phi     Vx/U     Mfrac
  1    1.304    0.773    8.828    1.915    6.064    1.728    0.757    0.757   49.789   49.789    2.002    0.000    0.033
  2    1.303    0.776    8.628    1.903    6.074    1.729    0.730    0.730   49.186   49.186    1.845    0.000    0.068
  3    1.302    0.780    8.409    1.890    6.082    1.730    0.700    0.700   49.066   49.066    1.614    0.000    0.105
  4    1.301    0.784    8.181    1.876    6.093    1.731    0.666    0.666   49.534   49.534    1.298    0.000    0.143
  5    1.301    0.788    7.985    1.863    6.106    1.732    0.634    0.634   50.420   50.420    0.910    0.000    0.183
  6    1.300    0.793    7.848    1.855    6.120    1.733    0.610    0.610   51.504   51.504    0.482    0.000    0.224
  7    1.300    0.799    7.748    1.848    6.135    1.734    0.590    0.590   52.824   52.824    0.043    0.000    0.267
  8    1.300    0.805    7.674    1.843    6.150    1.735    0.574    0.574   53.753   53.753   -0.382    0.000    0.311
  9    1.300    0.811    7.603    1.838    6.164    1.736    0.558    0.558   54.406   54.406   -0.767    0.000    0.357
 10    1.300    0.818    7.555    1.835    6.176    1.737    0.547    0.547   54.805   54.805   -1.380    0.000    0.405
 11    1.299    0.825    7.539    1.834    6.188    1.738    0.541    0.541   54.911   54.911   -1.748    0.000    0.454
 12    1.299    0.832    7.540    1.834    6.199    1.739    0.539    0.539   54.597   54.597   -2.066    0.000    0.505
 13    1.299    0.840    7.553    1.835    6.208    1.740    0.539    0.539   53.827   53.827   -2.349    0.000    0.558
 14    1.299    0.847    7.578    1.837    6.215    1.740    0.542    0.542   52.724   52.724   -2.620    0.000    0.614
 15    1.299    0.854    7.619    1.840    6.220    1.740    0.549    0.549   51.338   51.338   -2.904    0.000    0.671
 16    1.299    0.862    7.690    1.844    6.224    1.741    0.561    0.561   49.612   49.612   -3.220    0.000    0.731
 17    1.298    0.869    7.836    1.854    6.225    1.741    0.586    0.586   47.187   47.187   -3.564    0.000    0.793
 18    1.299    0.875    8.111    1.872    6.225    1.741    0.630    0.630   44.203   44.203   -3.896    0.000    0.858
 19    1.299    0.881    8.579    1.901    6.225    1.741    0.697    0.697   41.129   41.129   -4.165    0.000    0.927
 20    1.300    0.886    9.213    1.938    6.227    1.741    0.774    0.774   38.904   38.904   -4.331    0.000    1.000

